ལུག་,sheep
བྱ་རྒོད་,vulture
ཕག་པ་,pig
ངང་པ་,goose
སྦྲང་རྩི་,honey
སྡོམ་,spider
གྲོག་མ་,ant
སྦལ་པ་,frog
རུས་སྦལ་,"turtle, tortoise"
གཡག་,yak
འབྲི་,female yak
རྟ་,horse
རི་བོང་,rabbit
ར་,goat
བ་ཕྱུགས་,cow
བ་གླང་,ox
མ་ཧེ་,water buffalo
བོང་བུ་,"donkey, ass"
བྱ་,bird
ནེ་ཙོ་,parrot
ཉ་,fish
ཆུ་སྲིན་,crocodile
འུག་པ་,owl
གཤོག་པ་,wings
སྤུ་,"body hair, fur"
བྱ་སྤུ་,"feather, down"
དཀར་ཟས་,dairy products
དམར་ཟས་,"meat, non-veg food"
ཐོབ་ཐང་,"right, status, position, share"
སོ་རྒྱག་པ་,to bite
བཀག་པ་,"to tie up, to stop"
གསོ་བ་,"to keep, to raise"
ཉར་བ་,"to take care of, to look after"
ཞེད་པ་,"to fear, to be afraid of (ཐ་མི་དད་པ་)"
སྲུང་སྐྱོབ་བྱེད་པ་,"to protect, to guard, to save (ཐ་དད་པ་)"
གསོད་པ་,"to kill, to slaughter"
སྲོག་གཅོད་པ་,to take the life
མཆོངས་པ་,"to jump, to plunge"
ཤ་སྤང་བ་,to give up meat
ཚེ་ཐར་གཏོང་བ་,to free animals who have been condemned to death
ཚོན་ཁྲ་,colourful
སྤྱང་པོ་,"smart, clever"
ཨ་མཆོག་སངས་པོ་,sharp of ear faculties
རྫི་རྣོན་པོ་,keen of smell sense
ཞེད་སྣང་ཚ་པོ་,"scary, terrifying"
རྫིག་པོ་,"handsome, impressive (males)"
མཐུག་པོ་,"thick, dense"
ཤུགས་ཆེན་པོ་,strong
གཟུགས་པོ་རིང་པོ་,"tall, long"
ཕན་ཐོགས་ཆེན་པོ་,beneficial
བློ་ཁོག་ཆེན་པོ་,"brave, courageous, valiant"
བློས་འཁེལ་པོ་,reliable
བརྩོན་འགྲུས་ཆེན་པོ་,diligent
ལྗིད་གོག་ཚ་པོ་,heavy
གཟུགས་པོ་ཡང་པོ་,"light, small in bodyweight"
འཇམ་པོ་,"soft, smooth"
སོ་རྣོ་པོ་,sharp teeth
ལོ་ཆེན་པོ་,old (people and animals)
སེམས་ཅན་,"<div>animal (col.), sentient being (lit.)</div>"
དོད་འགྲོ་,animal (more literary)
གཅན་གཟན་ཁང་,zoo
ཁྱི་,
ཞི་མི་,cat
ཙི་ཙི་,"mouse, rat"
སེང་གེ་,lion
གཟིག,leopard
གླང་ཆེན་,
རྔ་མོང་,camel
དོམ་,bear
སྟག་,tiger
ཤ་ཁྲ་སྐེ་རིང་,giraffe
སྤྲེའུ་,monkey
འབྲུག,dragon
སྦྲུལ་,snake
ཝ་,fox
སྤྱང་ཀི,wolf
སྦྲང་ནག,fly
སྦྲང་ནོར་བུ་,bee
དུག་སྦྲང་,mosquito
རྔ་མ་,tail
མི་རྒོད་,"gorilla, ape"
ཤ་གཟན་སྲོག་ཆགས།,carnivore
རྩ་གཟན་སྲོག་ཆགས།,herbivore
རྩ་གཟན་སྲོག་ཆགས།,herbivore
རོབ་ཙམ་,"rough(ly), not thoroughly or completely"
རྔན་རྒྱག་པ་,to hunt
...ལ་སེམས་ཆགས་ནས་,wanting / desiring ...
གཞུ།,bow
རྨ་བྱ་,peacock
ཁྱད་ཆོས།,"features, characteristics"
ཆ་བཤད་ན་,for example
ལུད་,fertilizer
ཁོག་ལྡིར་,teapot
མཆེ་བ་,"fang, tusk"
གླ་བ་,musk deer
གོ་ཐལ་གྱི་མདོག་,ash color
མདེའི་,bullet
དྲེལ་,mule
རྟ་རྒྱུགས་ཀྱི་འགྲན་སྡུར་,horse race
འཇུ་བ་,digest
འདྲེས་མ་,mixed
རྒྱུས་,"familiar, to be familiar"
